Distillery,BarrelType,Lowest Sale,05/23/20
CAMERONBRIDGE,HHR,1.14,0.24655448467526445
INVERGORDON,BBR,2.23,0.27999999999999936
INVERGORDON,HHR,1.35,0.28299145299145273
NORTH_BRITISH,HHR,1.16,0.27236030574837056
STARLAW,BBF,1.78,0.2699999999999998
ARDMORE,BBR,3.69,0.5758081649650276
AUCHROISK,HHR,2.79,0.5054420178408875
BENRINNES,BBR,3.21,0.39446598375169795
BENRINNES,HHR,2.77,0.5420406029163843
BLAIR_ATHOL,HHR,2.89,0.4985893721091728
BORDERS,BBF,2.93,0.4050000000000001
BUNNAHABHAIN,BBR,3.27,0.2688888888888892
DAILUAINE,HHR,2.81,0.457914622634476
GLEN_GARIOCH,BBF,5.47,0.717833333333333
GLEN_MORAY,BBF,3.6,0.35968253968254027
GLEN_SPEY,BBR,3.65,0.38777777777777794
GLEN_SPEY,HHR,3.87,0.674044474823422
INCHGOWER,HHR,2.89,0.48619991292959047
KIRKCOWAN,BBF,3.18,0.19533333333333316
STRATHENRY,BBR,2.36,0.37322222222222223
TEANINICH,HHR,2.89,0.3544444444444441
TULLIBARDINE,BBF,3.64,0.35154109224109226
